date,strategy,spy_calibrated_rf_pred,tlt_calibrated_rf_pred,spy_rf_uncertainty,tlt_rf_uncertainty,spy_unc_scaled,tlt_unc_scaled,spy_price_ma5_gap,spy_price_ma20_gap,spy_ret_lag1,spy_ret_lag5,w_spy,w_tlt,w_cash,turnover,transaction_cost,gross_return,net_return,portfolio_value,drawdown
2024-06-05,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.000611602592616478,-0.000611602592616478,1.035463379440586,-0.0006116025926165003
2024-06-06,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.008136249254974099,-0.008136249254974099,1.0270385912910596,-0.008742875696452157
2024-06-07,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.0008246221895707203,-0.0008246221895707203,1.0261916724791356,-0.009560288316722843
2024-06-10,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.0055589064958572,0.0055589064958572,1.0318961760332743,-0.004054526569691741
2024-06-11,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.007901962910326962,0.007901962910326962,1.0400501813435974,0.0
2024-06-12,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.00704400419277296,0.00704400419277296,1.0473762991816762,0.0
2024-06-13,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.0037168125620847003,0.0037168125620847003,1.0512692005677045,0.0
2024-06-14,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.00076486807434362,0.00076486807434362,1.0520732828167596,0.0
2024-06-17,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,0.0051759714051954,0.0051759714051954,1.057518784044789,0.0
2024-06-18,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.00430532724097742,-0.00430532724097742,1.0529658196159957,-0.00430532724097743
2024-06-20,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.0008048261488746,-0.0008048261488746,1.0521183651904975,-0.005106688349909128
2024-06-21,Static 60/40,,,,,,,,,,,0.6,0.4,0.0,0.0,0.0,-0.0003391874116229596,-0.0003391874116229596,1.0517614998854876,-0.00544414363712864
